dateCreated,hours,sessions,quotes,transactions,sessionConversion,quoteConversion
01/10/2024,23,252,69,4,0.0159,0.058
01/10/2024,22,294,125,20,0.068,0.16
01/10/2024,21,375,154,22,0.0587,0.1429
01/10/2024,20,402,175,34,0.0846,0.1943
01/10/2024,19,377,164,27,0.0716,0.1646
01/10/2024,18,430,186,27,0.0628,0.1452
01/10/2024,17,487,211,37,0.076,0.1754
01/10/2024,16,606,291,51,0.0842,0.1753
01/10/2024,15,585,283,62,0.106,0.2191
01/10/2024,14,641,323,74,0.1154,0.2291
01/10/2024,13,664,304,71,0.1069,0.2336
01/10/2024,12,591,310,64,0.1083,0.2065
01/10/2024,11,754,354,69,0.0915,0.1949
01/10/2024,10,638,269,69,0.1082,0.2565
01/10/2024,9,595,289,59,0.0992,0.2042
01/10/2024,8,574,153,19,0.0331,0.1242
01/10/2024,7,387,175,7,0.0181,0.04
01/10/2024,6,221,64,3,0.0136,0.0469
01/10/2024,5,163,20,0,0,0
01/10/2024,4,183,18,0,0,0
01/10/2024,3,144,10,1,0.0069,0.1
01/10/2024,2,1014,881,1,0.001,0.0011
01/10/2024,1,188,32,0,0,0
01/10/2024,0,214,40,3,0.014,0.075
02/10/2024,23,273,67,8,0.0293,0.1194
02/10/2024,22,322,133,11,0.0342,0.0827
02/10/2024,21,394,173,25,0.0635,0.1445
02/10/2024,20,354,151,21,0.0593,0.1391
02/10/2024,19,417,162,25,0.06,0.1543
02/10/2024,18,492,203,41,0.0833,0.202
02/10/2024,17,544,251,33,0.0607,0.1315
02/10/2024,16,1357,273,46,0.0339,0.1685
02/10/2024,15,599,316,58,0.0968,0.1835
02/10/2024,14,771,283,55,0.0713,0.1943
02/10/2024,13,796,307,58,0.0729,0.1889
02/10/2024,12,659,364,67,0.1017,0.1841
02/10/2024,11,1233,327,83,0.0673,0.2538
02/10/2024,10,935,313,68,0.0727,0.2173
02/10/2024,9,821,244,52,0.0633,0.2131
02/10/2024,8,424,147,24,0.0566,0.1633
02/10/2024,7,370,162,9,0.0243,0.0556
02/10/2024,6,224,72,2,0.0089,0.0278
02/10/2024,5,175,21,3,0.0171,0.1429
02/10/2024,4,153,19,0,0,0
02/10/2024,3,162,20,1,0.0062,0.05
02/10/2024,2,161,21,2,0.0124,0.0952
02/10/2024,1,175,26,0,0,0
02/10/2024,0,191,32,1,0.0052,0.0313
03/10/2024,23,274,79,12,0.0438,0.1519
03/10/2024,22,315,134,18,0.0571,0.1343
03/10/2024,21,389,161,30,0.0771,0.1863
03/10/2024,20,408,172,19,0.0466,0.1105
03/10/2024,19,433,167,25,0.0577,0.1497
03/10/2024,18,370,161,31,0.0838,0.1925
03/10/2024,17,521,207,31,0.0595,0.1498
03/10/2024,16,558,278,41,0.0735,0.1475
03/10/2024,15,621,299,54,0.087,0.1806
03/10/2024,14,711,327,60,0.0844,0.1835
03/10/2024,13,570,262,51,0.0895,0.1947
03/10/2024,12,665,309,74,0.1113,0.2395
03/10/2024,11,1069,347,69,0.0645,0.1988
03/10/2024,10,648,329,57,0.088,0.1733
03/10/2024,9,610,290,44,0.0721,0.1517
03/10/2024,8,398,138,24,0.0603,0.1739
03/10/2024,7,367,150,10,0.0272,0.0667
03/10/2024,6,203,68,4,0.0197,0.0588
03/10/2024,5,174,25,4,0.023,0.16
03/10/2024,4,167,19,1,0.006,0.0526
03/10/2024,3,145,18,0,0,0
03/10/2024,2,148,21,0,0,0
03/10/2024,1,168,28,2,0.0119,0.0714
03/10/2024,0,214,40,3,0.014,0.075
04/10/2024,23,230,53,8,0.0348,0.1509
04/10/2024,22,266,73,8,0.0301,0.1096
04/10/2024,21,265,78,15,0.0566,0.1923
04/10/2024,20,316,100,14,0.0443,0.14
04/10/2024,19,309,124,15,0.0485,0.121
04/10/2024,18,527,116,20,0.038,0.1724
04/10/2024,17,413,155,23,0.0557,0.1484
04/10/2024,16,468,215,43,0.0919,0.2
04/10/2024,15,542,259,45,0.083,0.1737
04/10/2024,14,652,265,61,0.0936,0.2302
04/10/2024,13,607,290,61,0.1005,0.2103
04/10/2024,12,623,290,68,0.1091,0.2345
04/10/2024,11,639,307,60,0.0939,0.1954
04/10/2024,10,628,294,65,0.1035,0.2211
04/10/2024,9,577,290,49,0.0849,0.169
04/10/2024,8,519,169,24,0.0462,0.142
04/10/2024,7,386,158,5,0.013,0.0316
